comparison_id,timestamp,baseline_hostname,candidate_hostname,category,section,change_type,line_number,old_value,new_value,risk_label,risk_weight,confidence_score,description,recommendation
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Switching,vlan 100,Added,23,,vlan 100,Medium,70,90,Added Switching configuration in 'vlan 100',"Verify VLANs, trunks and STP convergence."
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Switching,vlan 100,Added,24,, name USERS,Medium,70,90,Added Switching configuration in 'vlan 100',"Verify VLANs, trunks and STP convergence."
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Switching,vlan 200,Added,25,,vlan 200,Medium,70,90,Added Switching configuration in 'vlan 200',"Verify VLANs, trunks and STP convergence."
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Switching,vlan 200,Added,26,, name SERVERS,Medium,70,90,Added Switching configuration in 'vlan 200',"Verify VLANs, trunks and STP convergence."
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Security,ip access-list standard MGMT,Modified,13, permit 192.168.1.0 0.0.0.255, permit 192.168.100.0 0.0.0.255,High,90,95,Modified Security configuration in 'ip access-list standard MGMT',Validate ACL behavior to avoid unintended traffic impact.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Security,ip access-list standard MGMT,Modified,14,ntp server 10.10.10.10, deny any,High,90,95,Modified Security configuration in 'ip access-list standard MGMT',Validate ACL behavior to avoid unintended traffic impact.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Services,ntp server 10.20.20.20,Added,30,,ntp server 10.20.20.20,Medium,60,88,Added Services configuration in 'ntp server 10.20.20.20',Validate dependent network services after deployment.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Services,logging host 192.168.200.10,Added,31,,logging host 192.168.200.10,Medium,60,88,Added Services configuration in 'logging host 192.168.200.10',Validate dependent network services after deployment.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Security,snmp-server community ConfigVista RO,Added,32,,snmp-server community ConfigVista RO,High,90,95,Added Security configuration in 'snmp-server community ConfigVista RO',Validate ACL/security policy and confirm management connectivity.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Management,banner motd,Added,33,,banner motd,Low,35,90,Added Management configuration in 'banner motd',Verify management access after implementation.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Management,banner motd,Added,34,, ************************************************ Authorized Access Only Unauthorized access is prohibited. ************************************************,Low,35,90,Added Management configuration in 'banner motd',Verify management access after implementation.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Services,service timestamps debug datetime msec,Added,35,,service timestamps debug datetime msec,Medium,60,88,Added Services configuration in 'service timestamps debug datetime msec',Validate dependent network services after deployment.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Services,service timestamps log datetime msec,Added,36,,service timestamps log datetime msec,Medium,60,88,Added Services configuration in 'service timestamps log datetime msec',Validate dependent network services after deployment.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Security,line vty 0 4,Added,37,,line vty 0 4,High,90,95,Added Security configuration in 'line vty 0 4',Validate ACL/security policy and confirm management connectivity.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Security,line vty 0 4,Added,38,, login local,High,90,95,Added Security configuration in 'line vty 0 4',Validate ACL/security policy and confirm management connectivity.
aa57a12a-415e-462d-8c94-0a82d33bcb52,2026-07-20T19:39:02.895192,Branch-R1,Branch-R2,Security,line vty 0 4,Added,39,, transport input ssh,High,90,95,Added Security configuration in 'line vty 0 4',Validate ACL/security policy and confirm management connectivity.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Management,hostname Branch-R1,Removed,1,hostname Branch-R1,,Low,20,90,Removed Management configuration in 'hostname Branch-R1',Verify hostname update across monitoring systems.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Management,hostname Branch-R2,Added,1,,hostname Branch-R2,Low,20,90,Added Management configuration in 'hostname Branch-R2',Verify hostname update across monitoring systems.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Interface,interface GigabitEthernet0/0,Modified,3, description WAN Interface, description MPLS Primary WAN,Low,30,90,Modified Interface configuration in 'interface GigabitEthernet0/0',Verify interface operational status and traffic flow.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Interface,interface GigabitEthernet0/0,Modified,4, ip address 10.1.1.1 255.255.255.0, ip address 10.2.2.1 255.255.255.0,Low,30,90,Modified Interface configuration in 'interface GigabitEthernet0/0',Verify interface operational status and traffic flow.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Interface,interface GigabitEthernet0/1,Modified,7, description LAN Interface, description Internet Backup,Low,30,90,Modified Interface configuration in 'interface GigabitEthernet0/1',Verify interface operational status and traffic flow.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Interface,interface GigabitEthernet0/1,Modified,8, ip address 192.168.1.1 255.255.255.0, ip address 172.16.10.1 255.255.255.0,Low,30,90,Modified Interface configuration in 'interface GigabitEthernet0/1',Verify interface operational status and traffic flow.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Interface,interface GigabitEthernet0/1,Added,9,, shutdown,Medium,60,90,Added Interface configuration in 'interface GigabitEthernet0/1',Verify interface shutdown impact before deployment.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Interface,interface GigabitEthernet0/2,Added,10,,interface GigabitEthernet0/2,Low,30,90,Added Interface configuration in 'interface GigabitEthernet0/2',Verify interface operational status and traffic flow.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Interface,interface GigabitEthernet0/2,Added,11,, description Management LAN,Low,30,90,Added Interface configuration in 'interface GigabitEthernet0/2',Verify interface operational status and traffic flow.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Interface,interface GigabitEthernet0/2,Added,12,, ip address 192.168.100.1 255.255.255.0,Low,30,90,Added Interface configuration in 'interface GigabitEthernet0/2',Verify interface operational status and traffic flow.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Routing,router ospf 1,Modified,11, network 10.1.1.0 0.0.0.255 area 0, router-id 2.2.2.2,High,90,95,Modified Routing configuration in 'router ospf 1',Verify OSPF adjacency and route propagation.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Routing,router ospf 1,Added,16,, network 10.2.2.0 0.0.0.255 area 0,High,90,95,Added Routing configuration in 'router ospf 1',Verify OSPF adjacency and route propagation.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Routing,router ospf 1,Added,17,, network 172.16.10.0 0.0.0.255 area 1,High,90,95,Added Routing configuration in 'router ospf 1',Verify OSPF adjacency and route propagation.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Routing,router ospf 1,Added,18,, passive-interface GigabitEthernet0/2,High,90,95,Added Routing configuration in 'router ospf 1',Verify OSPF adjacency and route propagation.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Routing,router bgp 65000,Added,19,,router bgp 65000,High,95,95,Added Routing configuration in 'router bgp 65000',Verify BGP neighbor state and advertised prefixes.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Routing,router bgp 65000,Added,20,, neighbor 192.168.254.1 remote-as 65100,High,95,95,Added Routing configuration in 'router bgp 65000',Verify BGP neighbor state and advertised prefixes.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Routing,router bgp 65000,Added,21,, network 10.2.2.0 mask 255.255.255.0,High,95,95,Added Routing configuration in 'router bgp 65000',Verify BGP neighbor state and advertised prefixes.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Routing,ip route 0.0.0.0 0.0.0.0 10.2.2.254,Added,22,,ip route 0.0.0.0 0.0.0.0 10.2.2.254,High,95,95,Added Routing configuration in 'ip route 0.0.0.0 0.0.0.0 10.2.2.254',Validate default route reachability before implementation.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Switching,vlan 100,Added,23,,vlan 100,Medium,70,90,Added Switching configuration in 'vlan 100',"Verify VLANs, trunks and STP convergence."
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Switching,vlan 100,Added,24,, name USERS,Medium,70,90,Added Switching configuration in 'vlan 100',"Verify VLANs, trunks and STP convergence."
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Switching,vlan 200,Added,25,,vlan 200,Medium,70,90,Added Switching configuration in 'vlan 200',"Verify VLANs, trunks and STP convergence."
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Switching,vlan 200,Added,26,, name SERVERS,Medium,70,90,Added Switching configuration in 'vlan 200',"Verify VLANs, trunks and STP convergence."
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Security,ip access-list standard MGMT,Modified,13, permit 192.168.1.0 0.0.0.255, permit 192.168.100.0 0.0.0.255,High,90,95,Modified Security configuration in 'ip access-list standard MGMT',Validate ACL behavior to avoid unintended traffic impact.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Security,ip access-list standard MGMT,Modified,14,ntp server 10.10.10.10, deny any,High,90,95,Modified Security configuration in 'ip access-list standard MGMT',Validate ACL behavior to avoid unintended traffic impact.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Services,ntp server 10.20.20.20,Added,30,,ntp server 10.20.20.20,Medium,60,88,Added Services configuration in 'ntp server 10.20.20.20',Validate dependent network services after deployment.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Services,logging host 192.168.200.10,Added,31,,logging host 192.168.200.10,Medium,60,88,Added Services configuration in 'logging host 192.168.200.10',Validate dependent network services after deployment.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Security,snmp-server community ConfigVista RO,Added,32,,snmp-server community ConfigVista RO,High,90,95,Added Security configuration in 'snmp-server community ConfigVista RO',Validate ACL/security policy and confirm management connectivity.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Management,banner motd,Added,33,,banner motd,Low,35,90,Added Management configuration in 'banner motd',Verify management access after implementation.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Management,banner motd,Added,34,, ************************************************ Authorized Access Only Unauthorized access is prohibited. ************************************************,Low,35,90,Added Management configuration in 'banner motd',Verify management access after implementation.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Services,service timestamps debug datetime msec,Added,35,,service timestamps debug datetime msec,Medium,60,88,Added Services configuration in 'service timestamps debug datetime msec',Validate dependent network services after deployment.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Services,service timestamps log datetime msec,Added,36,,service timestamps log datetime msec,Medium,60,88,Added Services configuration in 'service timestamps log datetime msec',Validate dependent network services after deployment.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Security,line vty 0 4,Added,37,,line vty 0 4,High,90,95,Added Security configuration in 'line vty 0 4',Validate ACL/security policy and confirm management connectivity.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Security,line vty 0 4,Added,38,, login local,High,90,95,Added Security configuration in 'line vty 0 4',Validate ACL/security policy and confirm management connectivity.
a4997eee-ec18-4733-9867-7ab73267d9a0,2026-07-23T11:35:26.279194,Branch-R1,Branch-R2,Security,line vty 0 4,Added,39,, transport input ssh,High,90,95,Added Security configuration in 'line vty 0 4',Validate ACL/security policy and confirm management connectivity.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Management,hostname Branch-R1,Removed,1,hostname Branch-R1,,Low,20,90,Removed Management configuration in 'hostname Branch-R1',Verify hostname update across monitoring systems.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Management,hostname Branch-R2,Added,1,,hostname Branch-R2,Low,20,90,Added Management configuration in 'hostname Branch-R2',Verify hostname update across monitoring systems.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Interface,interface GigabitEthernet0/0,Modified,3, description MPLS WAN, description MPLS Primary WAN,Low,30,90,Modified Interface configuration in 'interface GigabitEthernet0/0',Verify interface operational status and traffic flow.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Interface,interface GigabitEthernet0/0,Modified,4, ip address 10.1.2.1 255.255.255.0, ip address 10.2.2.1 255.255.255.0,Low,30,90,Modified Interface configuration in 'interface GigabitEthernet0/0',Verify interface operational status and traffic flow.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Interface,interface GigabitEthernet0/1,Modified,7, description LAN Interface, description Internet Backup,Low,30,90,Modified Interface configuration in 'interface GigabitEthernet0/1',Verify interface operational status and traffic flow.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Interface,interface GigabitEthernet0/1,Modified,8, ip address 192.168.1.1 255.255.255.0, ip address 172.16.10.1 255.255.255.0,Low,30,90,Modified Interface configuration in 'interface GigabitEthernet0/1',Verify interface operational status and traffic flow.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Interface,interface GigabitEthernet0/2,Modified,11, description Backup Link, description Management LAN,Low,30,90,Modified Interface configuration in 'interface GigabitEthernet0/2',Verify interface operational status and traffic flow.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Interface,interface GigabitEthernet0/2,Modified,12, ip address 172.16.1.1 255.255.255.0, ip address 192.168.100.1 255.255.255.0,Low,30,90,Modified Interface configuration in 'interface GigabitEthernet0/2',Verify interface operational status and traffic flow.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Routing,router ospf 1,Modified,15, network 10.1.2.0 0.0.0.255 area 0, router-id 2.2.2.2,High,90,95,Modified Routing configuration in 'router ospf 1',Verify OSPF adjacency and route propagation.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Routing,router ospf 1,Added,16,, network 10.2.2.0 0.0.0.255 area 0,High,90,95,Added Routing configuration in 'router ospf 1',Verify OSPF adjacency and route propagation.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Routing,router ospf 1,Added,17,, network 172.16.10.0 0.0.0.255 area 1,High,90,95,Added Routing configuration in 'router ospf 1',Verify OSPF adjacency and route propagation.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Routing,router ospf 1,Added,18,, passive-interface GigabitEthernet0/2,High,90,95,Added Routing configuration in 'router ospf 1',Verify OSPF adjacency and route propagation.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Routing,router bgp 65000,Added,19,,router bgp 65000,High,95,95,Added Routing configuration in 'router bgp 65000',Verify BGP neighbor state and advertised prefixes.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Routing,router bgp 65000,Added,20,, neighbor 192.168.254.1 remote-as 65100,High,95,95,Added Routing configuration in 'router bgp 65000',Verify BGP neighbor state and advertised prefixes.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Routing,router bgp 65000,Added,21,, network 10.2.2.0 mask 255.255.255.0,High,95,95,Added Routing configuration in 'router bgp 65000',Verify BGP neighbor state and advertised prefixes.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Routing,ip route 0.0.0.0 0.0.0.0 10.2.2.254,Added,22,,ip route 0.0.0.0 0.0.0.0 10.2.2.254,High,95,95,Added Routing configuration in 'ip route 0.0.0.0 0.0.0.0 10.2.2.254',Validate default route reachability before implementation.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Switching,vlan 100,Added,23,,vlan 100,Medium,70,90,Added Switching configuration in 'vlan 100',"Verify VLANs, trunks and STP convergence."
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Switching,vlan 100,Added,24,, name USERS,Medium,70,90,Added Switching configuration in 'vlan 100',"Verify VLANs, trunks and STP convergence."
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Switching,vlan 200,Added,25,,vlan 200,Medium,70,90,Added Switching configuration in 'vlan 200',"Verify VLANs, trunks and STP convergence."
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Switching,vlan 200,Added,26,, name SERVERS,Medium,70,90,Added Switching configuration in 'vlan 200',"Verify VLANs, trunks and STP convergence."
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Security,ip access-list standard MGMT,Modified,17, permit 192.168.2.0 0.0.0.255, permit 192.168.100.0 0.0.0.255,High,90,95,Modified Security configuration in 'ip access-list standard MGMT',Validate ACL behavior to avoid unintended traffic impact.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Security,ip access-list standard MGMT,Added,29,, deny any,High,90,95,Added Security configuration in 'ip access-list standard MGMT',Validate ACL behavior to avoid unintended traffic impact.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Services,logging host 192.168.200.10,Added,31,,logging host 192.168.200.10,Medium,60,88,Added Services configuration in 'logging host 192.168.200.10',Validate dependent network services after deployment.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Security,snmp-server community ConfigVista RO,Added,32,,snmp-server community ConfigVista RO,High,90,95,Added Security configuration in 'snmp-server community ConfigVista RO',Validate ACL/security policy and confirm management connectivity.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Management,banner motd,Added,33,,banner motd,Low,35,90,Added Management configuration in 'banner motd',Verify management access after implementation.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Management,banner motd,Added,34,, ************************************************ Authorized Access Only Unauthorized access is prohibited. ************************************************,Low,35,90,Added Management configuration in 'banner motd',Verify management access after implementation.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Services,service timestamps debug datetime msec,Added,35,,service timestamps debug datetime msec,Medium,60,88,Added Services configuration in 'service timestamps debug datetime msec',Validate dependent network services after deployment.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Services,service timestamps log datetime msec,Added,36,,service timestamps log datetime msec,Medium,60,88,Added Services configuration in 'service timestamps log datetime msec',Validate dependent network services after deployment.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Security,line vty 0 4,Added,37,,line vty 0 4,High,90,95,Added Security configuration in 'line vty 0 4',Validate ACL/security policy and confirm management connectivity.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Security,line vty 0 4,Added,38,, login local,High,90,95,Added Security configuration in 'line vty 0 4',Validate ACL/security policy and confirm management connectivity.
3993e1f7-1422-466c-b22e-521a624ecb95,2026-07-23T12:42:29.801742,Branch-R1,Branch-R2,Security,line vty 0 4,Added,39,, transport input ssh,High,90,95,Added Security configuration in 'line vty 0 4',Validate ACL/security policy and confirm management connectivity.
7855bf8d-69b4-43ff-a3e5-bb0b144d754b,2026-07-23T13:03:46.462946,Branch-R1,Branch-R2,Management,hostname Branch-R1,Removed,1,hostname Branch-R1,,Low,20,90,Removed Management configuration in 'hostname Branch-R1',Verify hostname update across monitoring systems.
